flag_id,trip_id,timestamp,elapsed_seconds,flag_type,severity,motion_score,audio_score,combined_score,explanation,context
FLAG001,TRIP001,2024-02-06 06:04:52,292,argument,medium,0.8,0.85,0.66,Audio argument (88 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG015,TRIP003,2024-02-06 06:10:33,633,argument,medium,0.8,0.7,0.6,Audio argument (75 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG016,TRIP003,2024-02-06 06:11:11,671,conversation,high,0.8,0.95,0.89,Audio conversation (92 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG017,TRIP003,2024-02-06 06:13:40,820,quiet,high,0.8,0.95,0.89,Audio quiet (92 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:quiet
FLAG018,TRIP003,2024-02-06 06:14:41,881,normal,medium,0.8,0.85,0.66,Audio normal (88 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:normal
FLAG019,TRIP003,2024-02-06 06:17:09,1029,normal,high,0.8,0.85,0.82,Audio normal (91 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:normal
FLAG020,TRIP003,2024-02-06 06:22:54,1374,loud,medium,0.8,0.85,0.73,Audio loud (90 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG021,TRIP003,2024-02-06 06:27:39,1659,conversation,high,0.8,0.95,0.9,Audio conversation (93 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG022,TRIP004,2024-02-06 06:09:07,547,normal,medium,0.8,0.7,0.6,Audio normal (78 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:normal
FLAG023,TRIP005,2024-02-06 06:03:18,198,conversation,medium,0.8,0.7,0.6,Audio conversation (75 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG024,TRIP005,2024-02-06 06:10:49,649,quiet,high,0.8,0.85,0.82,Audio quiet (91 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:quiet
FLAG025,TRIP005,2024-02-06 06:14:05,845,normal,high,0.8,0.95,0.9,Audio normal (94 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:normal
FLAG026,TRIP005,2024-02-06 06:20:41,1241,normal,medium,0.8,0.7,0.6,Audio normal (82 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:normal
FLAG027,TRIP005,2024-02-06 06:29:58,1798,argument,medium,0.8,0.85,0.66,Audio argument (85 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG028,TRIP006,2024-02-06 06:04:47,287,conversation,medium,0.9,0.7,0.64,Audio conversation (80 dB) with motion harsh_brake,Motion:harsh_brake | Audio:conversation
FLAG029,TRIP006,2024-02-06 06:11:00,660,normal,high,0.9,0.95,0.94,Audio normal (95 dB) with motion harsh_brake,Motion:harsh_brake | Audio:normal
FLAG030,TRIP006,2024-02-06 06:15:00,900,loud,medium,0.9,0.7,0.64,Audio loud (76 dB) with motion harsh_brake,Motion:harsh_brake | Audio:loud
FLAG031,TRIP006,2024-02-06 06:17:53,1073,argument,medium,0.9,0.85,0.73,Audio argument (90 dB) with motion harsh_brake,Motion:harsh_brake | Audio:argument
FLAG032,TRIP006,2024-02-06 06:18:20,1100,very_loud,medium,0.9,0.7,0.64,Audio very_loud (75 dB) with motion harsh_brake,Motion:harsh_brake | Audio:very_loud
FLAG033,TRIP006,2024-02-06 06:20:51,1251,loud,medium,0.9,0.85,0.77,Audio loud (90 dB) with motion harsh_brake,Motion:harsh_brake | Audio:loud
FLAG034,TRIP006,2024-02-06 06:23:32,1412,conversation,medium,0.9,0.7,0.64,Audio conversation (78 dB) with motion harsh_brake,Motion:harsh_brake | Audio:conversation
FLAG035,TRIP006,2024-02-06 06:24:57,1497,argument,medium,0.9,0.7,0.64,Audio argument (79 dB) with motion harsh_brake,Motion:harsh_brake | Audio:argument
FLAG036,TRIP008,2024-02-06 06:18:15,1095,argument,high,0.8,0.95,0.9,Audio argument (97 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG037,TRIP009,2024-02-06 06:06:26,386,quiet,high,0.8,0.95,0.9,Audio quiet (96 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:quiet
FLAG038,TRIP009,2024-02-06 06:06:42,402,very_loud,medium,0.8,0.85,0.71,Audio very_loud (90 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG039,TRIP010,2024-02-06 06:04:09,249,argument,medium,0.8,0.85,0.66,Audio argument (86 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG040,TRIP010,2024-02-06 06:15:13,913,argument,medium,0.8,0.85,0.66,Audio argument (88 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG041,TRIP010,2024-02-06 06:15:48,948,argument,high,0.8,0.95,0.9,Audio argument (93 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG042,TRIP010,2024-02-06 06:16:53,1013,argument,medium,0.8,0.85,0.66,Audio argument (88 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG043,TRIP010,2024-02-06 19:20:00,900,loud,medium,0.8,0.7,0.6,Audio loud (78 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG044,TRIP010,2024-02-06 19:22:00,1020,very_loud,medium,0.8,0.85,0.66,Audio very_loud (86 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG045,TRIP010,2024-02-06 19:22:30,1050,very_loud,high,0.8,0.85,0.81,Audio very_loud (91 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG046,TRIP010,2024-02-06 19:23:00,1080,argument,high,0.8,0.95,0.9,Audio argument (94 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG047,TRIP010,2024-02-06 19:23:30,1110,argument,high,0.8,0.95,0.9,Audio argument (96 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG048,TRIP010,2024-02-06 19:24:00,1140,very_loud,high,0.8,0.95,0.9,Audio very_loud (93 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG049,TRIP010,2024-02-06 19:24:30,1170,very_loud,medium,0.8,0.85,0.66,Audio very_loud (87 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG050,TRIP010,2024-02-06 19:25:00,1200,loud,medium,0.8,0.7,0.6,Audio loud (81 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG051,TRIP011,2024-02-06 06:09:44,584,quiet,high,0.8,0.85,0.82,Audio quiet (91 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:quiet
FLAG052,TRIP011,2024-02-06 06:10:18,618,argument,medium,0.8,0.85,0.66,Audio argument (87 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG053,TRIP011,2024-02-06 06:29:09,1749,loud,medium,0.8,0.7,0.6,Audio loud (83 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG054,TRIP011,2024-02-06 06:29:24,1764,conversation,high,0.8,0.95,0.9,Audio conversation (95 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG055,TRIP012,2024-02-06 06:13:03,783,loud,medium,0.8,0.7,0.6,Audio loud (78 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG056,TRIP012,2024-02-06 06:15:05,905,conversation,high,0.8,0.85,0.82,Audio conversation (91 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG057,TRIP012,2024-02-06 06:17:30,1050,argument,high,0.8,0.95,0.9,Audio argument (97 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG058,TRIP013,2024-02-06 06:02:44,164,argument,low,0.0,0.95,0.58,Audio argument (93 dB) with motion none,Motion:none | Audio:argument
FLAG059,TRIP013,2024-02-06 06:21:02,1262,conversation,low,0.0,0.95,0.58,Audio conversation (97 dB) with motion none,Motion:none | Audio:conversation
FLAG060,TRIP015,2024-02-06 06:01:26,86,conversation,low,0.0,0.95,0.58,Audio conversation (96 dB) with motion none,Motion:none | Audio:conversation
FLAG061,TRIP015,2024-02-06 06:05:53,353,loud,low,0.0,0.95,0.58,Audio loud (95 dB) with motion none,Motion:none | Audio:loud
FLAG062,TRIP015,2024-02-06 06:15:54,954,very_loud,low,0.0,0.95,0.58,Audio very_loud (93 dB) with motion none,Motion:none | Audio:very_loud
FLAG063,TRIP015,2024-02-06 06:20:24,1224,argument,low,0.0,0.95,0.58,Audio argument (93 dB) with motion none,Motion:none | Audio:argument
FLAG064,TRIP018,2024-02-06 06:05:23,323,argument,medium,0.8,0.7,0.6,Audio argument (76 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG065,TRIP018,2024-02-06 06:11:05,665,loud,high,0.8,0.95,0.89,Audio loud (92 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG066,TRIP018,2024-02-06 06:15:46,946,conversation,high,0.8,0.95,0.9,Audio conversation (93 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG067,TRIP019,2024-02-06 06:10:30,630,argument,low,0.0,0.95,0.58,Audio argument (96 dB) with motion none,Motion:none | Audio:argument
FLAG068,TRIP021,2024-02-06 06:07:11,431,loud,medium,0.8,0.85,0.66,Audio loud (86 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG069,TRIP021,2024-02-06 06:10:18,618,normal,medium,0.8,0.7,0.6,Audio normal (80 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:normal
FLAG070,TRIP021,2024-02-06 06:18:32,1112,loud,medium,0.8,0.7,0.6,Audio loud (83 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG071,TRIP021,2024-02-06 06:26:43,1603,very_loud,medium,0.8,0.85,0.66,Audio very_loud (87 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG072,TRIP022,2024-02-06 06:11:51,711,quiet,high,0.8,0.95,0.9,Audio quiet (95 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:quiet
FLAG073,TRIP022,2024-02-06 06:17:09,1029,conversation,high,0.8,0.95,0.9,Audio conversation (95 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG074,TRIP022,2024-02-06 06:21:18,1278,very_loud,high,0.8,0.95,0.9,Audio very_loud (96 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:very_loud
FLAG075,TRIP022,2024-02-06 06:25:45,1545,quiet,medium,0.8,0.85,0.66,Audio quiet (88 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:quiet
FLAG076,TRIP022,2024-02-06 06:26:21,1581,argument,high,0.8,0.95,0.9,Audio argument (96 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG077,TRIP023,2024-02-06 06:04:00,240,conversation,low,0.0,0.85,0.41,Audio conversation (90 dB) with motion none,Motion:none | Audio:conversation
FLAG078,TRIP024,2024-02-06 06:00:44,44,conversation,medium,0.8,0.7,0.6,Audio conversation (75 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG079,TRIP024,2024-02-06 06:01:45,105,loud,medium,0.8,0.85,0.66,Audio loud (87 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG080,TRIP025,2024-02-06 06:21:53,1313,argument,low,0.0,0.95,0.58,Audio argument (96 dB) with motion none,Motion:none | Audio:argument
FLAG081,TRIP026,2024-02-06 06:01:53,113,normal,medium,0.8,0.7,0.6,Audio normal (79 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:normal
FLAG082,TRIP026,2024-02-06 06:02:49,169,loud,high,0.8,0.95,0.9,Audio loud (96 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG083,TRIP026,2024-02-06 06:10:04,604,argument,medium,0.8,0.85,0.66,Audio argument (86 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:argument
FLAG084,TRIP026,2024-02-06 06:11:34,694,conversation,medium,0.8,0.85,0.66,Audio conversation (85 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG085,TRIP026,2024-02-06 06:16:10,970,loud,medium,0.8,0.7,0.6,Audio loud (83 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG086,TRIP026,2024-02-06 06:27:33,1653,loud,high,0.8,0.95,0.9,Audio loud (93 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG087,TRIP027,2024-02-06 06:00:06,6,normal,low,0.0,0.95,0.58,Audio normal (97 dB) with motion none,Motion:none | Audio:normal
FLAG088,TRIP027,2024-02-06 06:07:27,447,normal,low,0.0,0.95,0.58,Audio normal (98 dB) with motion none,Motion:none | Audio:normal
FLAG089,TRIP027,2024-02-06 06:21:16,1276,very_loud,low,0.0,0.95,0.58,Audio very_loud (93 dB) with motion none,Motion:none | Audio:very_loud
FLAG090,TRIP028,2024-02-06 06:05:22,322,argument,low,0.0,0.95,0.58,Audio argument (95 dB) with motion none,Motion:none | Audio:argument
FLAG091,TRIP028,2024-02-06 06:28:57,1737,argument,low,0.0,0.95,0.58,Audio argument (97 dB) with motion none,Motion:none | Audio:argument
FLAG092,TRIP029,2024-02-06 06:09:01,541,conversation,low,0.0,0.95,0.58,Audio conversation (96 dB) with motion none,Motion:none | Audio:conversation
FLAG093,TRIP029,2024-02-06 06:13:39,819,loud,low,0.0,0.95,0.58,Audio loud (97 dB) with motion none,Motion:none | Audio:loud
FLAG094,TRIP030,2024-02-06 06:01:14,74,loud,medium,0.8,0.7,0.6,Audio loud (75 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:loud
FLAG095,TRIP030,2024-02-06 06:02:21,141,quiet,medium,0.8,0.7,0.6,Audio quiet (80 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:quiet
FLAG096,TRIP030,2024-02-06 06:05:58,358,normal,medium,0.8,0.7,0.6,Audio normal (76 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:normal
FLAG097,TRIP030,2024-02-06 06:19:43,1183,conversation,high,0.8,0.95,0.9,Audio conversation (96 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
FLAG098,TRIP030,2024-02-06 06:27:12,1632,conversation,medium,0.8,0.7,0.6,Audio conversation (83 dB) with motion sudden_acceleration,Motion:sudden_acceleration | Audio:conversation
